Opponent,HOME/AWAY,WIN/LOSS,SF,PIMF,PPGF,SHGF,SA,PIMA,PPGA,SHGA
Montreal Canadiens,,L,30,10,0,0,21,14,1,0
Buffalo Sabres,@,L,36,14,0,0,41,6,2,0
Pittsburgh Penguins,@,W,41,18,2,0,29,14,2,0
Tampa Bay Lightning,@,W,24,12,1,0,28,12,0,0
Florida Panthers,@,W,26,24,2,1,35,18,0,0
Ottawa Senators,@,L,35,21,0,0,42,27,1,0
Montreal Canadiens,@,L,23,16,2,0,38,20,3,0
Buffalo Sabres,,L,32,16,1,0,37,12,2,0
Pittsburgh Penguins,,W,47,23,4,0,21,29,1,0
Toronto Maple Leafs,@,L,53,8,0,0,32,20,2,1
Carolina Hurricanes,@,L,27,12,2,0,33,8,0,0
Toronto Maple Leafs,,W,30,15,1,0,37,11,1,0
New Jersey Devils,,L,31,18,0,0,34,10,1,0
New York Islanders,@,L,32,6,0,0,23,12,0,0
Florida Panthers,,W,33,14,1,0,30,12,0,0
Pittsburgh Penguins,,W,32,34,4,0,29,42,1,0
Philadelphia Flyers,@,L,30,10,2,0,36,10,1,0
Ottawa Senators,,L,39,32,1,1,30,20,0,1
New York Islanders,@,L,31,14,0,0,31,14,1,0
Toronto Maple Leafs,,L,32,14,1,0,26,8,2,0
Buffalo Sabres,,L,22,10,1,0,24,8,1,0
New York Rangers,@,L,34,6,1,0,32,4,1,0
Toronto Maple Leafs,@,W,37,17,2,0,21,17,0,0
Philadelphia Flyers,,L,28,12,0,0,27,8,2,0
Ottawa Senators,@,L,24,14,0,0,40,16,2,0
New Jersey Devils,@,L,23,28,1,0,34,8,0,0
Ottawa Senators,,W,24,10,1,0,26,16,0,0
Edmonton Oilers,@,W,26,8,0,0,40,6,2,0
Vancouver Canucks,@,L,27,16,1,0,39,14,2,0
Colorado Avalanche,@,L,21,10,0,0,27,8,2,0
Phoenix Coyotes,,L,19,14,1,0,32,12,1,0
Minnesota Wild,@,W,28,8,0,0,31,2,2,0
Calgary Flames,@,L,26,13,0,0,29,15,1,1
Toronto Maple Leafs,,W,25,23,1,0,27,21,0,0
Toronto Maple Leafs,@,L,26,20,1,0,28,10,2,0
Washington Capitals,@,W,43,8,0,0,18,12,1,1
Florida Panthers,@,L,39,8,1,1,27,14,0,0
Tampa Bay Lightning,@,W,24,10,0,1,32,8,0,0
Philadelphia Flyers,,L,27,8,0,0,21,10,0,0
Ottawa Senators,,W,38,14,2,0,35,28,0,1
Tampa Bay Lightning,,W,34,10,0,0,32,0,0,0
San Jose Sharks,,L,23,20,1,0,33,17,3,1
Los Angeles Kings,,L,30,12,0,0,42,10,1,0
Dallas Stars,,L,27,16,0,0,38,6,0,0
Mighty Ducks of Anaheim,,W,24,23,0,0,28,13,2,0
Philadelphia Flyers,@,W,18,12,1,0,37,8,1,0
New York Rangers,,L,31,8,1,0,29,10,0,0
Washington Capitals,@,W,33,12,0,0,24,14,0,0
Atlanta Thrashers,@,W,32,8,1,0,24,18,1,0
Washington Capitals,,W,32,14,1,0,34,14,2,0
New York Islanders,,L,44,11,1,0,51,19,0,0
Ottawa Senators,@,W,24,8,0,1,44,6,0,0
Montreal Canadiens,,W,37,4,2,0,17,16,0,0
Montreal Canadiens,@,L,35,8,0,0,29,14,1,1
Carolina Hurricanes,,L,27,8,1,0,43,8,0,0
Pittsburgh Penguins,@,W,38,12,2,0,17,12,0,0
New Jersey Devils,,L,39,6,0,0,34,4,0,1
Tampa Bay Lightning,,L,26,20,0,1,36,8,2,0
Carolina Hurricanes,@,L,28,14,0,0,29,10,1,0
Atlanta Thrashers,,W,31,12,1,0,22,10,1,0
Buffalo Sabres,,L,42,8,1,0,25,8,0,0
Buffalo Sabres,@,L,27,14,1,0,35,14,2,0
Montreal Canadiens,,L,28,37,0,0,41,21,2,0
New York Islanders,,L,33,17,1,0,45,13,0,0
Buffalo Sabres,@,L,39,15,0,1,30,11,3,0
Toronto Maple Leafs,@,L,32,40,2,0,33,22,2,0
Ottawa Senators,,W,30,10,0,0,33,16,0,0
Carolina Hurricanes,,W,33,18,2,0,40,12,0,0
New York Rangers,@,L,21,11,0,0,29,13,1,1
Atlanta Thrashers,,L,31,16,2,0,40,10,1,1
New Jersey Devils,@,L,27,6,0,0,24,8,2,0
Buffalo Sabres,,W,39,14,0,0,40,12,0,0
Florida Panthers,,L,37,10,1,0,48,12,2,0
Buffalo Sabres,@,L,27,14,0,0,32,10,2,0
Montreal Canadiens,@,L,32,17,0,0,35,15,0,0
Montreal Canadiens,@,L,29,25,2,0,47,23,3,0
Toronto Maple Leafs,,W,27,6,0,0,33,8,0,0
New York Rangers,,L,26,13,1,0,25,17,1,0
Washington Capitals,,L,38,8,0,0,27,8,0,0
Ottawa Senators,@,L,21,18,0,1,44,8,1,0
Montreal Canadiens,,L,28,11,0,0,26,13,1,0
Atlanta Thrashers,@,L,26,8,0,1,35,4,0,0
