ha,sf,pimf,ppgf,shgf,sa,pima,ppgf,shga,,,,,,,wl
1,30,10,0,0,21,14,1,0,,,,,,,0
0,36,14,0,0,41,6,2,0,,,,,,,0
0,41,18,2,0,29,14,2,0,,,,,,,1
0,24,12,1,0,28,12,0,0,,,,,,,1
0,26,24,2,1,35,18,0,0,,,,,,,1
0,35,21,0,0,42,27,1,0,,,,,,,0
0,23,16,2,0,38,20,3,0,,,,,,,0
1,32,16,1,0,37,12,2,0,,,,,,,0
1,47,23,4,0,21,29,1,0,,,,,,,1
0,53,8,0,0,32,20,2,1,,,,,,,0
0,27,12,2,0,33,8,0,0,,,,,,,0
1,30,15,1,0,37,11,1,0,,,,,,,1
1,31,18,0,0,34,10,1,0,,,,,,,0
0,32,6,0,0,23,12,0,0,,,,,,,0
1,33,14,1,0,30,12,0,0,,,,,,,1
1,32,34,4,0,29,42,1,0,,,,,,,1
0,30,10,2,0,36,10,1,0,,,,,,,0
1,39,32,1,1,30,20,0,1,,,,,,,0
0,31,14,0,0,31,14,1,0,,,,,,,0
1,32,14,1,0,26,8,2,0,,,,,,,0
1,22,10,1,0,24,8,1,0,,,,,,,0
0,34,6,1,0,32,4,1,0,,,,,,,0
0,37,17,2,0,21,17,0,0,,,,,,,1
1,28,12,0,0,27,8,2,0,,,,,,,0
0,24,14,0,0,40,16,2,0,,,,,,,0
0,23,28,1,0,34,8,0,0,,,,,,,0
1,24,10,1,0,26,16,0,0,,,,,,,1
0,26,8,0,0,40,6,2,0,,,,,,,1
0,27,16,1,0,39,14,2,0,,,,,,,0
0,21,10,0,0,27,8,2,0,,,,,,,0
1,19,14,1,0,32,12,1,0,,,,,,,0
0,28,8,0,0,31,2,2,0,,,,,,,1
0,26,13,0,0,29,15,1,1,,,,,,,0
1,25,23,1,0,27,21,0,0,,,,,,,1
0,26,20,1,0,28,10,2,0,,,,,,,0
0,43,8,0,0,18,12,1,1,,,,,,,1
0,39,8,1,1,27,14,0,0,,,,,,,0
0,24,10,0,1,32,8,0,0,,,,,,,1
1,27,8,0,0,21,10,0,0,,,,,,,0
