loc,fowP,foL,foW,pkPctg,ppPctg,sf,sa,satp,ozf,dzf,spsv,hit,bks,tka,gva,wol
0,39.65,35,23,75,0,26,43,33.33,8,17,118.89,15,20,20,9,1
1,60.34,23,35,100,25,43,26,66.67,17,8,81.11,20,7,7,11,0
1,54.83,28,34,100,20,31,27,51.14,13,17,115.83,19,18,16,14,1
1,53.62,32,37,100,50,33,38,50.94,24,16,93.75,12,16,12,13,1
0,45.16,34,28,80,0,27,31,48.86,17,13,84.17,16,15,11,13,0
0,46.37,37,32,50,0,38,33,49.06,16,24,106.25,19,15,13,11,0
0,48.14,28,26,100,0,24,30,48.15,9,19,112.65,15,22,9,11,1
0,58.49,22,31,100,0,18,36,33.33,8,17,119.29,11,15,2,6,1
1,51.85,26,28,100,0,30,24,51.85,19,9,87.35,16,23,5,4,0
1,41.5,31,22,100,0,36,18,66.67,17,8,80.71,15,6,2,11,0
0,34.54,36,19,60,0,31,27,50,17,12,99.15,19,15,9,14,0
0,50,34,34,66.66,33.33,41,27,60.78,32,9,94.73,11,12,11,13,0
1,59.25,22,32,100,0,26,26,55.79,13,17,107.45,15,13,14,10,1
1,50,34,34,66.66,33.33,27,41,39.22,9,32,105.27,6,20,7,25,1
1,61.66,23,37,75,40,30,33,50.53,12,12,105.67,16,13,9,12,1
0,43.58,44,34,66.66,50,34,39,45.92,21,21,96.67,29,15,5,1,0
1,65.45,19,36,100,40,27,31,50,12,17,100.85,14,10,10,11,1
0,50.87,28,29,0,50,40,39,45.69,21,12,100.37,13,19,3,9,1
0,40.35,34,23,75,0,28,35,37.5,11,22,99.84,25,14,11,10,0
0,38.33,37,23,60,25,33,30,49.47,12,12,94.33,18,21,3,15,0
1,56.41,34,44,50,33.33,39,34,54.08,21,21,103.33,30,23,11,4,1
0,40.74,32,22,100,0,26,26,44.21,17,13,92.55,10,11,8,7,0
1,58.1,31,43,100,0,42,34,57.94,28,17,98.88,16,9,11,13,1
1,49.12,29,28,50,100,39,40,54.31,12,21,99.63,16,12,6,14,0
0,41.89,43,31,100,0,34,42,42.06,17,28,101.12,23,18,8,8,0
1,59.64,23,34,100,25,35,28,62.5,22,11,100.16,14,4,11,8,1
0,38.88,33,21,75,0,31,39,42.72,15,16,97.2,9,24,4,8,0
1,61.11,21,33,100,25,39,31,57.28,16,15,102.8,8,10,12,7,1
0,52.63,27,30,100,50,27,31,47.19,15,16,104.76,14,17,2,1,1
1,47.36,30,27,50,0,31,27,52.81,16,15,95.24,23,10,4,9,0
1,46.29,29,25,100,50,40,17,52.08,18,11,109.38,15,18,4,9,1
0,53.7,25,29,50,0,17,40,47.92,11,18,90.63,25,14,3,12,0
1,46.42,30,26,100,16.66,23,35,40.51,8,16,116.67,26,21,17,8,1
0,48.21,29,27,100,40,32,34,43.59,7,15,93.04,28,11,3,7,0
1,51.66,29,31,100,0,20,35,44,15,18,95.88,8,20,5,9,0
0,53.57,26,30,83.33,0,35,23,59.49,16,8,83.33,27,8,5,5,0
1,51.78,27,29,60,0,34,32,56.41,15,7,106.96,20,11,8,8,1
0,48.33,31,29,100,0,35,20,56,18,15,104.12,24,19,6,2,1
0,52.83,25,28,75,0,26,33,46.84,14,8,100,10,13,6,15,0
1,47.16,28,25,100,25,33,26,53.16,8,14,100,14,13,5,10,1
1,50.79,31,32,0,0,35,28,56.73,16,19,105.83,25,9,10,19,1
1,60,24,36,100,0,26,28,36.84,15,22,102.38,16,12,9,9,0
1,54.23,27,32,0,50,36,25,48.28,22,14,101.67,18,28,11,6,1
0,49.2,32,31,100,100,28,35,43.27,19,16,94.17,21,17,12,4,0
0,45.76,32,27,50,100,25,36,51.72,14,22,98.33,23,18,4,6,0
0,40,36,24,100,0,28,26,63.16,22,15,97.62,19,8,2,6,1
0,40.57,41,28,83.33,0,27,28,53.09,13,14,91.44,28,18,1,6,0
1,59.42,28,41,100,16.66,28,27,46.91,14,13,108.56,22,13,1,18,1
1,46.77,33,29,50,0,39,32,52.29,17,19,105.56,14,12,10,4,1
0,55.38,29,36,60,100,29,32,52.48,11,18,104.53,27,16,8,12,1
0,53.22,29,33,100,50,32,39,47.71,19,17,94.44,17,9,9,10,0
0,40,33,22,66.66,0,19,40,39.58,12,20,109.38,14,22,14,3,0
1,50,29,29,100,0,34,22,50.48,12,19,101.97,17,18,7,11,1
1,47.16,28,25,100,33.33,33,33,50,11,13,99.6,18,7,8,19,1
0,50,29,29,0,0,22,34,49.52,19,12,98.03,20,12,4,4,0
1,50.66,37,38,33.33,33.33,30,43,35.87,14,33,107.91,30,17,4,4,0
0,50,23,23,100,25,35,22,52.87,15,8,89.47,14,10,5,13,0
1,64.81,19,35,100,0,26,32,46.67,14,14,107.59,11,9,9,11,1
1,44.61,36,29,0,40,32,29,47.52,18,11,95.47,24,19,12,14,0
0,35.18,35,19,100,0,32,26,53.33,14,14,92.41,14,7,6,11,0
0,49.33,38,37,66.66,66.66,43,30,64.13,33,14,92.09,14,9,7,5,1
0,52.83,25,28,66.66,0,33,33,50,13,11,100.4,15,7,8,11,0
1,60,22,33,100,33.33,40,19,60.42,20,12,90.63,20,18,3,11,1
1,50,23,23,75,0,22,35,47.13,8,15,110.53,26,17,7,13,1
0,47.36,30,27,100,0,32,34,43.75,12,18,104.66,14,8,7,11,1
1,52.63,27,30,100,0,34,32,56.25,18,12,95.34,18,5,0,11,0
1,49.05,27,26,66.66,0,30,27,57.89,13,15,107.41,23,14,4,10,1
0,33.33,42,21,100,50,26,34,40.82,20,16,97.59,9,21,6,3,1
0,50.94,26,27,100,33.33,27,30,42.11,15,13,92.59,20,14,3,5,0
1,66.66,21,42,50,0,34,26,59.18,16,20,102.41,23,16,9,4,0
0,43.1,33,25,100,0,33,36,53.19,17,15,87.1,22,6,4,11,0
1,45.33,41,34,0,0,33,46,44.19,20,28,103.92,22,18,19,15,1
1,53.57,26,30,100,100,31,23,48.57,20,16,88.57,15,21,10,5,0
1,59.32,24,35,50,20,40,32,59.09,17,15,96.96,27,9,8,14,0
1,56.89,25,33,100,0,36,33,46.81,15,17,112.9,34,12,10,6,1
0,54.66,34,41,100,0,46,33,55.81,28,20,96.08,11,13,7,4,0
0,40.67,35,24,80,50,32,40,40.91,15,17,103.04,32,19,10,7,1
0,46.42,30,26,0,0,23,31,51.43,16,20,111.43,27,15,5,7,1
1,54.16,33,39,33.33,60,41,27,60.22,28,13,93.03,23,13,11,9,1
0,50.87,28,29,66.66,100,31,37,47,15,11,96.58,18,16,5,12,0
1,58.06,26,36,100,75,44,24,57.58,15,16,93.34,8,9,11,12,1
1,49.12,29,28,0,33.33,37,31,53,11,15,103.42,18,13,8,10,1
0,45.56,43,36,100,0,21,43,35.92,17,26,119.19,20,15,13,14,1
1,54.43,36,43,100,0,43,21,64.08,26,17,80.81,20,12,3,14,0
1,62.9,23,39,75,50,25,39,42.39,13,15,105.45,16,16,8,5,0
0,45.83,39,33,40,66.66,27,41,39.78,13,28,106.97,13,14,10,5,0
0,41.93,36,26,25,0,24,44,42.42,16,15,106.66,23,12,5,4,0
0,37.09,39,23,50,25,39,25,57.61,15,13,94.55,18,15,8,5,1
0,54.9,23,28,50,0,29,35,53.4,15,12,100.89,14,10,5,14,0
0,57.14,27,36,60,33.33,40,37,47.27,12,15,102.19,24,19,6,4,1
1,45.09,28,23,100,50,35,29,46.6,12,15,99.11,29,14,11,13,1
0,49.12,29,28,100,33.33,28,25,46.34,16,13,90.48,20,12,1,10,0
1,42.85,36,27,66.66,40,37,40,52.73,15,12,97.81,22,13,8,12,0
1,50.87,28,29,66.66,0,25,28,53.66,13,16,109.52,45,18,3,17,1
0,43.54,35,27,33.33,40,34,36,53.06,23,13,90,23,12,2,10,0
1,56.45,27,35,60,66.66,36,34,46.94,13,23,110,32,15,12,15,1
1,56.06,29,37,50,0,36,34,56.36,21,16,96.45,16,13,12,6,0
0,45.45,30,25,100,0,22,40,39.56,18,12,94.44,18,12,2,7,0
1,54.54,25,30,100,0,40,22,60.44,12,18,105.56,12,9,10,4,1
0,43.93,37,29,100,50,34,36,43.64,16,21,103.55,13,25,6,5,1
0,49.27,35,34,100,0,34,37,54.79,16,16,108.49,33,15,4,7,1
1,50.72,34,35,100,0,37,34,45.21,16,16,91.51,30,12,6,12,0
1,53.44,27,31,100,25,26,32,45.59,8,15,95,40,15,8,12,0
0,46.55,31,27,75,0,32,26,54.41,15,8,105,18,17,3,10,1
1,61.84,29,47,75,0,42,31,58.04,30,14,102.27,28,15,5,10,1
0,50,24,24,100,50,25,30,48.24,11,12,109.47,19,20,5,7,1
1,50,24,24,50,0,30,25,51.76,12,11,90.53,19,12,5,8,0
0,38.15,47,29,100,25,31,42,41.96,14,30,97.73,19,21,5,9,0
1,47.05,27,24,66.66,0,24,39,45.74,9,16,111.15,20,16,5,15,1
0,52.94,24,27,100,33.33,39,24,54.26,16,9,88.85,14,20,8,9,0
1,54,23,27,100,0,20,36,44.12,7,5,102.5,17,14,12,15,1
0,46,27,23,100,0,36,20,55.88,5,7,97.5,14,9,9,10,0
1,55.88,30,38,100,0,38,31,53.77,16,17,103.22,44,15,17,7,1
0,44.11,38,30,100,0,31,38,46.23,17,16,96.78,22,23,8,9,0
0,37.87,41,25,100,0,20,41,31.25,9,28,103.34,23,20,10,8,1
0,46.87,34,30,100,33.33,34,36,57.43,20,10,92.31,14,7,2,9,0
1,62.12,25,41,100,0,41,20,68.75,28,9,96.66,17,10,12,16,0
1,53.12,30,34,66.66,0,36,34,42.57,10,20,107.69,24,14,7,11,1
1,61.29,24,38,55.55,25,36,36,51.43,10,15,98.75,20,8,4,10,0
1,64.91,20,37,0,60,33,26,47.73,17,10,103.78,30,16,8,9,1
0,40,36,24,75,33.33,29,29,49.4,19,12,109.09,26,14,6,10,1
0,57.14,30,40,50,50,30,35,49.4,22,16,101.66,13,6,9,0,0
0,35.08,37,20,40,100,26,33,52.27,10,17,96.22,39,12,6,5,0
0,38.7,38,24,75,44.44,36,36,48.57,15,10,101.25,12,10,5,8,1
1,60,24,36,66.66,25,29,29,50.6,12,19,90.91,11,7,8,13,0
1,42.85,40,30,50,50,35,30,50.6,16,22,98.34,31,12,19,11,1
0,52.11,34,37,50,0,34,33,59.43,21,19,85.19,26,10,9,7,0
1,47.88,37,34,100,50,33,34,40.57,19,21,114.81,32,20,3,6,1
1,52.63,27,30,100,0,27,31,53.52,12,13,109.09,13,14,3,11,1
0,47.36,30,27,100,0,31,27,46.48,13,12,90.91,14,11,1,8,0
0,58.2,28,39,100,66.66,30,29,58.76,24,9,84,17,7,5,3,0
1,49.33,38,37,100,100,33,31,52.08,25,19,109.45,15,6,8,6,1
1,41.79,39,28,33.33,0,29,30,41.24,9,24,116,25,20,8,8,1
0,50.66,37,38,0,0,31,33,47.92,19,25,90.55,29,8,12,13,0
0,59.61,21,31,100,0,24,26,52.22,12,19,105.31,44,16,9,7,0
1,40.38,31,21,100,0,26,24,47.78,19,12,94.69,44,19,12,18,1
0,52.83,25,28,0,0,33,36,51.75,20,14,93.33,20,20,5,3,0
0,38.46,32,20,100,0,29,33,42.73,18,16,100.13,22,18,8,10,0
0,56.94,31,41,100,50,50,31,59.8,27,15,98.41,19,11,9,16,1
1,43.05,41,31,50,0,31,50,40.2,15,27,101.59,17,9,7,20,0
0,54.54,25,30,33.33,50,32,33,59.34,14,11,111,13,8,6,8,1
1,41.5,31,22,100,0,21,30,47.31,15,13,94.45,22,14,9,9,0
1,61.53,20,32,0,0,33,29,57.27,16,18,99.87,29,12,6,12,1
1,47.16,28,25,0,100,36,33,48.25,14,20,106.67,27,19,5,5,1
0,58.49,22,31,100,0,30,21,52.69,13,15,105.55,6,13,7,6,1
1,45.45,30,25,50,66.66,33,32,40.66,11,14,89,14,21,16,18,0
0,45.31,35,29,75,0,22,35,42.53,13,16,105.09,27,12,1,10,0
1,54.68,29,35,100,25,35,22,57.47,16,13,94.91,28,12,4,10,1
1,35.71,36,20,100,0,42,34,50,20,16,108.55,19,22,7,11,1
0,46.29,29,25,100,50,26,30,46.07,13,18,97.14,24,14,3,9,0
1,53.7,25,29,50,0,30,26,53.93,18,13,102.86,28,17,8,9,1
0,64.28,20,36,100,0,34,42,50,16,20,91.45,45,14,4,9,0
1,53.52,33,38,100,25,32,32,47.22,21,16,82.75,16,13,5,10,0
1,55.38,29,36,75,33.33,30,28,47.67,18,17,99.5,29,17,9,7,1
0,44.61,36,29,66.66,25,28,30,52.33,17,18,100.5,38,13,5,13,0
0,56.89,25,33,66.66,0,35,31,54.44,23,13,102.71,27,10,13,4,1
0,56.33,31,40,100,0,42,32,54.22,14,14,95.24,12,10,7,12,0
0,45,33,27,33.33,0,31,22,57.97,13,13,102.84,15,8,1,3,0
0,46.47,38,33,75,0,32,32,52.78,16,21,117.25,10,13,4,7,1
1,39.21,31,20,100,0,30,36,43.01,14,17,103.69,22,13,5,4,1
1,43.1,33,25,100,33.33,31,35,45.56,13,23,97.29,17,7,14,8,0
0,55.35,25,31,100,33.33,28,38,36.19,14,16,113.89,8,16,9,5,1
1,43.66,40,31,100,0,32,42,45.78,14,14,104.76,14,25,10,24,1
1,55,27,33,100,66.66,22,31,42.03,13,13,97.16,7,18,5,7,1
1,44.64,31,25,66.66,0,38,28,63.81,16,14,86.11,17,11,13,5,0
0,60.78,20,31,100,0,36,30,56.99,17,14,96.31,16,6,6,8,0
1,53.22,29,33,80,0,33,37,54.12,17,17,99.62,16,12,15,15,1
0,46.77,33,29,100,20,37,33,45.88,17,17,100.38,21,15,12,14,0
0,61.53,15,24,100,0,33,28,45.3,8,11,103.34,15,33,6,4,1
1,38.46,24,15,100,0,28,33,54.7,11,8,96.66,22,15,9,5,0
1,49.29,36,35,100,0,35,33,49.59,23,15,105.09,22,22,10,23,1
0,50.7,35,36,100,0,33,35,50.41,15,23,94.91,24,18,5,8,0
0,59.67,25,37,60,0,32,29,52.81,17,14,107.41,42,19,7,3,1
1,40.32,37,25,100,40,29,32,47.19,14,17,92.59,40,16,9,11,0
1,45.9,33,28,100,50,23,33,43.16,9,20,98.47,22,14,4,5,1
0,54.38,26,31,75,50,31,36,43.24,12,16,104.4,36,23,5,9,1
1,45.61,31,26,50,25,36,31,56.76,16,12,95.6,25,15,7,10,0
1,46.55,31,27,100,50,26,24,46.15,14,17,108.73,15,25,3,20,1
0,53.44,27,31,50,0,24,26,53.85,17,14,91.27,18,9,2,17,0
0,54.09,28,33,50,0,33,23,56.84,20,9,101.53,12,15,5,6,0
0,53.44,27,31,0,50,24,32,44.33,18,19,100.65,12,19,9,5,0
1,46.77,33,29,100,33.33,25,27,42.53,14,9,73.18,34,20,14,23,0
0,50,32,32,100,0,23,29,38.36,18,14,101.71,15,15,7,11,0
1,50,32,32,100,0,29,23,61.64,14,18,98.29,18,11,8,10,1
0,52.94,24,27,100,0,24,30,45.88,18,13,93.01,20,8,4,7,0
1,46.55,31,27,50,100,32,24,55.67,19,18,99.35,26,13,5,9,1
1,50.81,30,31,40,0,32,32,48.19,18,11,107.24,23,17,16,14,1
1,44.11,38,30,100,50,45,34,52.13,19,17,96.2,18,8,17,6,1
0,55.88,30,38,50,0,34,45,47.87,17,19,103.8,11,6,6,2,0
1,47.05,27,24,100,0,30,24,54.12,13,18,106.99,24,17,4,7,1
0,49.18,31,30,100,60,32,32,51.81,11,18,92.76,24,11,5,16,0
