gameID,tm,oppTm,loc,ga,gf,fowP,foL,foW,pkPctg,ppPctg,sf,sa,satp,ozf,dzf,spsv,hit,bks,tka,gva
2017020616,FLA,BOS,0,2,4,0.3965,35,23,0.75,0.0,26,43,0.3333,8,17,118.89,15,20,20,9
2017020616,BOS,FLA,1,4,2,0.6034,23,35,1.0,0.25,43,26,0.6667,17,8,81.11,20,7,7,11
2017021268,CGY,VGK,1,1,7,0.5483,28,34,1.0,0.2,31,27,0.5114,13,17,115.83,19,18,16,14
2017021269,EDM,VAN,1,2,2,0.5362,32,37,1.0,0.5,33,38,0.5094,24,16,93.75,12,16,12,13
2017021268,VGK,CGY,0,7,1,0.4516,34,28,0.8,0.0,27,31,0.4886,17,13,84.17,16,15,11,13
2017021269,VAN,EDM,0,2,2,0.4637,37,32,0.5,0.0,38,33,0.4906,16,24,106.25,19,15,13,11
2017021271,MIN,SJS,0,3,6,0.4814,28,26,1.0,0.0,24,30,0.4815,9,19,112.65,15,22,9,11
2017021270,DAL,LAK,0,2,4,0.5849,22,31,1.0,0.0,18,36,0.3333,8,17,119.29,11,15,2,6
2017021271,SJS,MIN,1,6,3,0.5185,26,28,1.0,0.0,30,24,0.5185,19,9,87.35,16,23,5,4
2017021270,LAK,DAL,1,4,2,0.415,31,22,1.0,0.0,36,18,0.6667,17,8,80.71,15,6,2,11
2017021265,CBJ,NSH,0,4,2,0.3454,36,19,0.6,0.0,31,27,0.5,17,12,99.15,19,15,9,14
2017021261,BUF,FLA,0,4,3,0.5,34,34,0.6666,0.3333,41,27,0.6078,32,9,94.73,11,12,11,13
2017021262,WSH,NJD,1,3,5,0.5925,22,32,1.0,0.0,26,26,0.5579,13,17,107.45,15,13,14,10
2017021261,FLA,BUF,1,3,4,0.5,34,34,0.6666,0.3333,27,41,0.3922,9,32,105.27,6,20,7,25
2017021259,TOR,MTL,1,2,4,0.6166,23,37,0.75,0.4,30,33,0.5053,12,12,105.67,16,13,9,12
2017021266,STL,COL,0,5,2,0.4358,44,34,0.6666,0.5,34,39,0.4592,21,21,96.67,29,15,5,1
2017021265,NSH,CBJ,1,2,4,0.6545,19,36,1.0,0.4,27,31,0.5,12,17,100.85,14,10,10,11
2017021260,NYI,DET,0,3,4,0.5087,28,29,0.0,0.5,40,39,0.4569,21,12,100.37,13,19,3,9
2017021258,OTT,BOS,0,5,2,0.4035,34,23,0.75,0.0,28,35,0.375,11,22,99.84,25,14,11,10
2017021259,MTL,TOR,0,4,2,0.3833,37,23,0.6,0.25,33,30,0.4947,12,12,94.33,18,21,3,15
2017021266,COL,STL,1,2,5,0.5641,34,44,0.5,0.3333,39,34,0.5408,21,21,103.33,30,23,11,4
2017021262,NJD,WSH,0,5,3,0.4074,32,22,1.0,0.0,26,26,0.4421,17,13,92.55,10,11,8,7
2017021263,CAR,TBL,1,2,3,0.581,31,43,1.0,0.0,42,34,0.5794,28,17,98.88,16,9,11,13
