GameID,teamAbbrev,SATP,OZF,DZF, SPSv 
2017020616,BOS,0.6667,17,8, 0.81 
2017020616,FLA,0.3333,8,17, 1.19 
2017021268,VGK,0.4886,17,13, 0.84 
2017021269,VAN,0.4906,16,24, 1.06 
2017021268,CGY,0.5114,13,17, 1.16 
2017021269,EDM,0.5094,24,16, 0.94 
2017021271,MIN,0.4815,9,19, 1.13 
2017021271,SJS,0.5185,19,9, 0.87 
2017021270,DAL,0.3333,8,17, 1.19 
2017021270,LAK,0.6667,17,8, 0.81 
2017021265,NSH,0.5,12,17, 1.01 
2017021258,OTT,0.375,11,22, 1.00 
2017021261,BUF,0.6078,32,9, 0.95 
2017021265,CBJ,0.5,17,12, 0.99 
2017021258,BOS,0.625,22,11, 1.00 
2017021259,MTL,0.4947,12,12, 0.94 
2017021266,STL,0.4592,21,21, 0.97 
2017021260,DET,0.5431,12,21, 1.00 
2017021262,NJD,0.4421,17,13, 0.93 
2017021260,NYI,0.4569,21,12, 1.00 
2017021266,COL,0.5408,21,21, 1.03 
2017021263,TBL,0.4206,17,28, 1.01 
2017021259,TOR,0.5053,12,12, 1.06 
2017021261,FLA,0.3922,9,32, 1.05 
2017021263,CAR,0.5794,28,17, 0.99 
2017021262,WSH,0.5579,13,17, 1.07 
2017021264,WPG,0.5728,16,15, 1.03 
2017021264,CHI,0.4272,15,16, 0.97 
2017021267,ANA,0.4719,15,16, 1.05 
2017021267,ARI,0.5281,16,15, 0.95 
2017021257,PHI,0.5208,18,11, 1.09 
2017021257,NYR,0.4792,11,18, 0.91 
2017021254,BUF,0.4359,7,15, 0.93 
2017021253,PIT,0.4051,8,16, 1.17 
2017021255,CHI,0.44,15,18, 0.96 
2017021255,STL,0.56,18,15, 1.04 
2017021253,OTT,0.5949,16,8, 0.83 
2017021254,TBL,0.5641,15,7, 1.07 
2017021256,ANA,0.5316,8,14, 1.00 
2017021256,DAL,0.4684,14,8, 1.00 
2017021252,COL,0.5172,14,22, 0.98 
2017021252,SJS,0.4828,22,14, 1.02 
2017021246,DET,0.3684,15,22, 1.02 
2017021247,BOS,0.4327,19,16, 0.94 
2017021251,LAK,0.4691,14,13, 1.09 
2017021251,MIN,0.5309,13,14, 0.91 
2017021246,MTL,0.6316,22,15, 0.98 
2017021247,FLA,0.5673,16,19, 1.06 
2017021242,NYR,0.5287,15,8, 0.89 
2017021241,TOR,0.4771,19,17, 0.94 
2017021241,NJD,0.5229,17,19, 1.06 
2017021245,PIT,0.6413,33,14, 0.92 
2017021243,CAR,0.4952,19,12, 0.98 
2017021248,WPG,0.4667,14,14, 1.08 
2017021248,CGY,0.5333,14,14, 0.92 
2017021242,NYI,0.4713,8,15, 1.11 
2017021243,PHI,0.5048,12,19, 1.02 
2017021250,ARI,0.3958,12,20, 1.09 
2017021244,NSH,0.5248,11,18, 1.05 
2017021249,EDM,0.5,11,13, 1.00 
2017021249,VGK,0.5,13,11, 1.00 
2017021244,WSH,0.4752,18,11, 0.95 
2017021245,CBJ,0.3587,14,33, 1.08 
2017021250,VAN,0.6042,20,12, 0.91 
2017021238,OTT,0.4375,12,18, 1.05 
2017021238,BUF,0.5625,18,12, 0.95 
2017021240,ANA,0.5789,13,15, 1.07 
2017021240,MIN,0.4211,15,13, 0.93 
2017021239,STL,0.5918,16,20, 1.02 
2017021239,CHI,0.4082,20,16, 0.98 
2017021237,SJS,0.4857,20,16, 0.89 
2017021233,BOS,0.5319,17,15, 0.87 
2017021234,NSH,0.5581,28,20, 0.96 
2017021233,TBL,0.4681,15,17, 1.13 
2017021232,MTL,0.5909,17,15, 0.97 
2017021237,DAL,0.5143,16,20, 1.11 
2017021232,WPG,0.4091,15,17, 1.03 
2017021234,FLA,0.4419,20,28, 1.04 
2017021230,PHI,0.47,15,11, 0.97 
2017021231,DET,0.3978,13,28, 1.07 
2017021235,ARI,0.3592,17,26, 1.19 
2017021236,VAN,0.4239,13,15, 1.05 
2017021229,NYR,0.4242,16,15, 1.07 
